entry_time,exit_time,trade_type,entry_price,exit_price,stop_loss,take_profit,position_size,pnl_currency,account_balance,result,setup_type,trigger_level
2025-02-13 08:00:00,2025-02-13 08:12:00,buy,1.0436,1.04326,1.04326,1.04428,294117.6470588175,-100.0,9900.0,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:13:00,2025-02-13 08:15:00,buy,1.04343,1.04377,1.04326,1.04377,582352.9411764586,197.99999999999997,10098.0,win,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:15:00,2025-02-13 08:44:00,buy,1.04379,1.04326,1.04326,1.0448499999999998,190528.30188682143,-100.98,9997.02,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:44:00,2025-02-13 08:45:00,buy,1.04328,1.04346,1.04346,1.0436400000000001,555389.9999997872,99.97020000000002,10096.9902,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:46:00,2025-02-13 08:51:00,buy,1.04335,1.04324,1.04324,1.04357,917908.1999995452,-100.969902,9996.020298,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:55:00,2025-02-13 08:56:00,buy,1.04296,1.04324,1.04324,1.0435199999999998,357000.7249287806,99.96020297999999,10095.98050098,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 08:57:00,2025-02-13 09:00:00,buy,1.04296,1.0431800000000002,1.04285,1.0431800000000002,917816.4091795454,201.91961001960001,10297.9001109996,win,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:00:00,2025-02-13 09:25:00,buy,1.04346,1.04285,1.04285,1.04468,168818.034606551,-102.979001109996,10194.921109889605,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:25:00,2025-02-13 09:26:00,buy,1.04297,1.04314,1.04314,1.04331,599701.2417581999,101.94921109889607,10296.8703209885,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:26:00,2025-02-13 09:27:00,buy,1.04276,1.04314,1.04314,1.04352,270970.2716049271,102.96870320988502,10399.839024198385,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:27:00,2025-02-13 09:28:00,buy,1.04281,1.04314,1.04314,1.04347,315146.6370969767,103.99839024198386,10503.83741444037,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:28:00,2025-02-13 09:29:00,buy,1.04278,1.04314,1.04314,1.0434999999999999,291773.26151230064,105.0383741444037,10608.875788584774,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:29:00,2025-02-13 09:30:00,buy,1.04275,1.04314,1.04314,1.0435299999999998,272022.4561176347,106.08875788584774,10714.964546470621,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:30:00,2025-02-13 09:31:00,buy,1.04296,1.04314,1.04314,1.0433199999999998,595275.8081377628,107.1496454647062,10822.114191935327,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:31:00,2025-02-13 09:51:00,buy,1.04295,1.04267,1.04267,1.0435100000000002,386504.0782833245,-108.22114191935327,10713.893050015973,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:51:00,2025-02-13 09:52:00,buy,1.04251,1.04267,1.04267,1.04283,669618.3156262579,107.13893050015973,10821.031980516133,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:52:00,2025-02-13 09:53:00,buy,1.04244,1.04267,1.04267,1.0429,470479.6513268856,108.21031980516133,10929.242300321293,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:53:00,2025-02-13 09:54:00,buy,1.0424,1.04267,1.04267,1.04294,404786.7518637629,109.29242300321293,11038.534723324507,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:54:00,2025-02-13 09:55:00,buy,1.04236,1.04267,1.04267,1.04298,356081.7652684952,110.38534723324507,11148.920070557751,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:55:00,2025-02-13 09:56:00,buy,1.04245,1.04267,1.04267,1.0428899999999999,506769.0941165218,111.48920070557752,11260.409271263328,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 09:56:00,2025-02-13 10:03:00,buy,1.04241,1.04226,1.04226,1.0427100000000002,750693.9514170823,-112.60409271263329,11147.805178550694,loss,MSS - Bullish,Break of LH at 1.03950
2025-02-13 10:03:00,2025-02-13 10:37:00,sell,1.04224,1.0414600000000003,1.04263,1.0414600000000003,285841.15842445707,222.95610357101387,11370.761282121708,win,MSS - Bearish,Break of HL at 1.04226
2025-02-13 10:37:00,2025-02-13 11:51:00,sell,1.04145,1.04245,1.04245,1.0394499999999998,113707.61282120435,-113.70761282121708,11257.05366930049,loss,MSS - Bearish,Break of HL at 1.04226
2025-02-13 12:14:00,2025-02-13 12:32:00,buy,1.04285,1.04225,1.04225,1.0440500000000004,187617.5611549594,-112.5705366930049,11144.483132607485,loss,MSS - Bullish,Break of LH at 1.04262
2025-02-13 12:49:00,2025-02-13 13:08:00,sell,1.0416,1.04236,1.04236,1.0400800000000003,146637.93595538638,-111.44483132607486,11033.03830128141,loss,MSS - Bearish,Break of HL at 1.04208
2025-02-13 13:25:00,2025-02-13 13:46:00,sell,1.04207,1.04165,1.04228,1.04165,525382.776251387,220.66076602562822,11253.69906730704,win,MSS - Bearish,Break of HL at 1.04208
2025-02-13 13:46:00,2025-02-13 13:51:00,sell,1.04124,1.0394999999999996,1.04211,1.0394999999999996,129352.86284258758,225.07398134614078,11478.77304865318,win,MSS - Bearish,Break of HL at 1.04208
2025-02-13 13:51:00,2025-02-13 17:12:00,sell,1.03955,1.04211,1.04211,1.0344299999999997,44838.957221299424,-114.7877304865318,11363.985318166648,loss,MSS - Bearish,Break of HL at 1.04208
2025-02-13 17:12:00,2025-02-13 20:41:00,buy,1.04172,1.04027,1.04027,1.0446199999999999,78372.31253908297,-113.63985318166648,11250.345464984981,loss,MSS - Bullish,Break of LH at 1.04148
2025-02-13 20:41:00,2025-02-13 21:07:00,sell,1.03942,1.04316,1.04316,1.0319399999999999,30081.1376069111,-112.50345464984981,11137.84201033513,loss,MSS - Bearish,Break of HL at 1.04246
2025-02-13 21:30:00,2025-02-13 21:45:00,buy,1.04402,1.04321,1.04321,1.04564,137504.22234982028,-111.37842010335132,11026.46359023178,loss,MSS - Bullish,Break of LH at 1.04398
2025-02-14 08:05:00,2025-02-14 08:06:00,sell,1.04543,1.04531,1.04531,1.0451899999999998,918871.9658517294,110.2646359023178,11136.728226134099,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:07:00,2025-02-14 08:08:00,sell,1.04543,1.04531,1.04531,1.0451899999999998,928060.6855102468,111.36728226134099,11248.09550839544,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:08:00,2025-02-14 08:09:00,sell,1.04542,1.04531,1.04531,1.0452,1022554.1371263516,112.4809550839544,11360.576463479394,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:10:00,2025-02-14 08:15:00,sell,1.04538,1.04552,1.04552,1.0451,811469.7473912173,-113.60576463479394,11246.9706988446,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:21:00,2025-02-14 08:22:00,sell,1.04567,1.04552,1.04552,1.04537,749798.0465891676,112.46970698844599,11359.440405833046,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:22:00,2025-02-14 08:23:00,sell,1.0457,1.04552,1.04552,1.04534,631080.0225460384,113.59440405833045,11473.034809891376,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:23:00,2025-02-14 08:24:00,sell,1.04566,1.04552,1.04552,1.04538,819502.4864206429,114.73034809891377,11587.76515799029,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:27:00,2025-02-14 08:38:00,sell,1.04563,1.04583,1.04583,1.04523,579388.2578995783,-115.8776515799029,11471.887506410387,loss,MSS - Bearish,Break of HL at 1.04577
2025-02-14 08:43:00,2025-02-14 09:07:00,buy,1.0459,1.0467,1.0455,1.0467,286797.18766029127,229.43775012820774,11701.325256538594,win,MSS - Bullish,Break of LH at 1.04583
2025-02-14 09:07:00,2025-02-14 11:30:00,buy,1.04671,1.0486900000000001,1.04572,1.0486900000000001,118195.20461149541,234.02650513077188,11935.351761669366,win,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:30:00,2025-02-14 11:39:00,buy,1.0487,1.04799,1.04799,1.05012,168103.5459390079,-119.35351761669365,11815.998244052673,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:41:00,2025-02-14 11:44:00,buy,1.04816,1.04799,1.04799,1.0485,695058.7202383783,-118.15998244052673,11697.838261612145,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:44:00,2025-02-14 11:45:00,buy,1.04788,1.04799,1.04799,1.0481,1063439.8419642136,116.97838261612145,11814.816644228267,loss,MSS - Bullish,Break of LH at 1.04583
2025-02-14 11:45:00,2025-02-14 11:46:00,buy,1.04784,1.04799,1.04799,1.0481399999999998,787654.4429492209,118.14816644228267,11932.96481067055,loss,MSS - Bullish,Break of LH at 1.04583
